RAdeg,DEdeg,Umag,Bmag,Vmag,Imag,Jmag,Hmag,Ksmag,[3.6],[4.5],[5.8],[8.0],[24],SpClass,GeneralClass
83.6617,-70.3324,-2.4210000000000003,-1.4990000000000003,-2.145,-1.370999999999999,-2.225999999999999,-2.533999999999999,-2.719999999999999,-3.1136,-3.4796999999999993,,-4.711399999999999,-9.5468,OPN,Other
83.7239,-70.4902,,,,,,,-5.246,-9.3977,-10.491,-11.2987,-12.024799999999999,-13.5923,CAGB,DSS
83.724,-68.7777,,,,,-11.219,-11.972999999999999,-12.189,-12.3363,-12.2057,-12.261399999999998,-12.273,-12.3165,STAR,Other
83.7251,-69.134,-1.9089999999999996,-3.6419999999999995,-5.213,-8.238999999999999,-7.9559999999999995,-8.559,-8.831999999999999,-9.162899999999999,-9.058399999999999,-9.2511,-9.4117,-11.07,OAGB,DSS
83.7345,-69.1546,,2.4659999999999993,1.164000000000001,-0.0610000000000004,,-3.664999999999999,-5.988999999999999,-9.5842,-10.5194,-11.291,-12.012799999999999,-13.6747,CAGB,DSS
83.7647,-69.8793,,,,,-3.7439999999999998,-6.049999999999999,-7.866,-9.361799999999999,-10.2338,-10.9164,-11.6265,-12.8686,CAGB,DSS
83.809,-67.7321,-2.6130000000000004,-4.195,-3.399999999999999,-9.241999999999999,-9.144,-9.987,-10.496,-11.124199999999998,-11.357399999999998,-11.649799999999999,-12.1831,-14.6598,RSG,DSS
83.8325,-69.8128,,1.9700000000000009,-1.2300000000000009,-4.537999999999999,-6.177999999999999,-7.434999999999999,-8.174,-8.9992,-9.0314,-9.2768,-9.740599999999999,,CAGB,DSS
83.8525,-69.0676,-0.26799999999999785,-2.8409999999999993,-4.561000000000001,,-8.953,-9.863,-10.286,-10.7274,-10.7412,-11.0392,-11.454999999999998,-13.6451,RSG,DSS
83.8576,-71.3325,,,,,-2.0829999999999984,-3.3040000000000003,-4.346,-7.0838,-8.0739,-10.0266,-11.8379,-15.2051,PAGB,DSS
83.862,-69.8744,,,,,-3.4610000000000003,-5.591999999999999,-7.465999999999999,-9.5848,-10.4092,-11.2195,-11.8965,-12.9813,CAGB,DSS
83.8667,-69.2698,,,,,-2.6189999999999998,-2.7509999999999994,-3.1950000000000003,-4.691099999999999,-5.824199999999999,-6.941799999999999,-8.755799999999999,-13.137699999999999,SNR,Other
83.8667,-69.2698,,,,,-2.6189999999999998,-2.7509999999999994,-3.1950000000000003,-4.691099999999999,-5.824199999999999,-6.941799999999999,-8.755799999999999,-13.137699999999999,SNR,Other
83.8667,-69.2698,,,,,-2.6189999999999998,-2.7509999999999994,-3.1950000000000003,-4.691099999999999,-5.824199999999999,-6.941799999999999,-8.755799999999999,-13.137699999999999,SNR,Other
83.8667,-69.2698,,,,,-2.6189999999999998,-2.7509999999999994,-3.1950000000000003,-4.691099999999999,-5.824199999999999,-6.941799999999999,-8.755799999999999,-13.137699999999999,SNR,Other
83.8667,-69.2698,,,,,-2.6189999999999998,-2.7509999999999994,-3.1950000000000003,-4.691099999999999,-5.824199999999999,-6.941799999999999,-8.755799999999999,-13.137699999999999,SNR,Other
83.8667,-69.2698,,,,,-2.6189999999999998,-2.7509999999999994,-3.1950000000000003,-4.691099999999999,-5.824199999999999,-6.941799999999999,-8.755799999999999,-13.137699999999999,SNR,Other
83.8681,-66.934,-2.756999999999999,-4.736000000000001,-6.619000000000001,,-10.161,-10.940999999999999,-11.261,-11.537199999999999,-11.520399999999999,-11.773499999999999,-12.275099999999998,-14.5002,RSG,DSS
83.9036,-69.204,,,,,,,-3.257999999999999,-7.2089,-8.5902,-9.8973,-11.235299999999999,-15.381,YSO,DSS
83.9036,-69.204,,,,,,,-3.257999999999999,-7.2089,-8.5902,-9.8973,-11.235299999999999,-15.381,YSO,DSS
83.9156,-65.3323,,,,,-2.6229999999999993,-4.748999999999999,-6.647,-9.4979,-10.1564,-10.6764,-11.2101,-12.2451,CAGB,DSS
83.9804,-69.1665,,-3.8439999999999994,-5.858,,-9.977,-10.888,-11.385,-11.688199999999998,-11.753799999999998,-12.1915,-12.889199999999999,-14.821299999999999,RSG,DSS
84.0054,-66.7776,,,,,,-2.4510000000000005,-5.238999999999999,-8.820599999999999,-10.075099999999999,-11.0394,-11.873899999999999,-13.6854,CAGB,DSS
84.016,-69.0251,-6.531999999999999,-5.788,-6.0200000000000005,-8.204999999999998,-6.738999999999999,-6.850999999999999,-6.911,-7.128,-7.1874,-7.2219999999999995,-7.2349,,STAR,Other
84.0248,-69.9674,-3.7120000000000006,-3.9700000000000006,-4.431,-4.918,-5.23,-5.682,-6.202,-7.612299999999999,-8.247399999999999,-8.8243,-9.7563,-11.941199999999998,OAGB,DSS
84.0661,-69.5309,-1.3239999999999987,-0.5649999999999993,-1.1069999999999998,-2.055,-3.1370000000000005,-4.183999999999999,-5.366999999999999,-7.5428,-8.171,-9.3285,-10.745999999999999,-14.9674,YSO,DSS
84.1005,-72.6924,,,,,,-1.602999999999998,-4.552,-8.6366,-9.886199999999999,-10.8728,-11.7527,-13.3187,CAGB,DSS
84.1077,-69.3822,-8.789,-7.443999999999999,-7.767,-8.209999999999999,-8.394,-8.756,-9.76,-11.7112,-12.419599999999999,-13.0532,-13.7604,-16.5067,B[e],Other
84.1285,-69.3048,-0.4339999999999982,0.27399999999999936,-0.367999999999999,-1.299,-2.4570000000000007,-3.455,-4.773,-7.2445,-8.5817,-9.975999999999999,-11.8762,-16.6598,YSO,DSS
