,Umag,Bmag,Vmag,Imag,Jmag,Hmag,Ksmag,[3.6],[4.5],[5.8],[8.0],[24],SpClass
27,-2.890050354948221,-3.844,-5.858,-6.4187986104284445,-6.229712713743591,-7.646567773484546,-9.159152609524263,-11.688199999999998,-11.753799999999998,-12.1915,-12.8892,-14.8213,RSG
28,0.8397667304027983,0.688661207997588,-0.463553945043097,-2.1430394019725347,-4.012999999999999,-5.983999999999999,-7.712999999999999,-9.9924,-10.7997,-11.5476,-12.2289,-13.4264,CAGB
29,-2.074701193728759,-0.5050000000000022,-1.6800000000000006,-2.897000000000001,-3.746,-4.647000000000001,-6.261,-9.351,-10.681,-11.753,-12.657,-17.794,YSO
30,1.233,0.9539999999999992,0.7849999999999997,0.2319999999999988,-1.1129999999999989,-3.753999999999999,-6.033,-9.9569,-10.9866,-11.8737,-12.6892,-14.416,CAGB
31,-1.5929999999999995,-0.8169999999999998,-1.2659999999999991,-1.9930000000000008,-2.446000000000001,-3.1570000000000005,-4.151000000000001,-6.686000000000002,-7.2730000000000015,-8.261000000000001,-9.226,-15.289,YSO
32,-1.602000000000001,-1.4369999999999992,-2.104,-2.659999999999999,-3.102999999999999,-3.434,-3.492999999999999,-7.648299999999999,-9.5646,-11.0447,-12.3235,-14.836,CAGB
33,-4.5520000000000005,-4.718,-5.920000000000001,-8.369579114073538,-8.833,-9.129721054826756,-9.284530351612364,-9.9771,-9.8797,-10.1062,-10.3717,-11.628699999999998,RSG
34,-5.524,-5.829000000000001,-7.707,-8.219,-7.59109698465668,-8.28201629494976,-9.153830656930353,-10.9514,-10.8556,-11.1746,-11.6173,-13.634799999999998,RSG
35,-0.3073526008427554,-0.6177026546384423,-1.2499370296258197,-0.8347752350878925,-1.222999999999998,-2.704,-4.042999999999999,-6.571399999999999,-6.8203,-8.2976,-9.442982140476202,-12.8137,YSO
36,-0.010923031762527291,0.31044190607367317,-0.15796727768786867,0.21403181408804373,-0.7529999999999993,-2.954,-5.492999999999999,-9.4239,-10.5666,-11.5031,-12.3278,-13.8981,CAGB
37,-4.507000000000001,-4.018000000000001,-4.053999999999999,-4.297,-4.662999999999999,-5.223999999999999,-6.082999999999998,-7.520199999999999,-8.0829,-8.5415,-9.1557,-10.8672,YSO
38,-0.8968209994411374,-1.0589476036983612,-1.0848576089864594,-0.8553294521063854,-1.062999999999998,-1.9839999999999995,-2.732999999999999,-5.308092378780865,-6.370899999999999,-7.9595,-9.6661,-15.1714,YSO
39,-1.7519999999999996,-3.898,-5.749999999999999,-6.333092027427201,-6.049360352137697,-7.345629387594765,-8.130290459907915,-9.9402,-9.7224,-9.9391,-10.1127,-11.0997,RSG
