RAdeg,DEdeg,Umag,Bmag,Vmag,Imag,Jmag,Hmag,Ksmag,[3.6],[4.5],[5.8],[8.0],[24],SpClass,GeneralClass
77.3608,-69.1157,0.06500000000000128,-1.0839999999999996,-2.7489999999999988,-5.189,-6.869999999999999,-7.779999999999999,-8.04,-8.293899999999999,-8.1512,-8.2956,-8.3295,-8.5921,OAGB,DSS
77.3734,-69.1307,,-4.007999999999999,-3.603999999999999,,-4.299999999999999,-4.98,-5.039999999999999,,-6.628,-7.1114,-7.917199999999999,-10.1332,OAGB,DSS
77.6182,-68.7421,,,,,-2.2300000000000004,-4.449999999999999,-6.4399999999999995,-8.5853,-9.5456,-10.2929,-10.9536,-12.0954,CAGB,DSS
77.7461,-68.9372,-0.009000000000000341,-0.559000000000001,-2.8279999999999994,-5.955,-7.73,,,-9.401399999999999,-9.3345,-9.604199999999999,-9.9253,-11.6904,OAGB,DSS
78.0381,-71.1138,-4.421999999999999,-4.055999999999999,-4.253,-4.616999999999999,-4.779999999999999,-5.24,-6.24,-8.4109,-9.1935,-9.9191,-11.032699999999998,-13.8089,YSO,DSS
78.0563,-68.6563,,0.5530000000000008,-0.7789999999999999,-4.452,-6.289999999999999,-7.1899999999999995,-7.549999999999999,-7.8407,-7.3978,-8.027999999999999,-8.4462,-10.4934,OAGB,DSS
78.1175,-69.1323,-2.921999999999999,-1.934000000000001,-2.3659999999999997,-2.3909999999999982,-2.91,-3.4000000000000004,-4.1899999999999995,-6.09,-6.722199999999999,-8.4134,-10.256499999999999,-14.8769,PAGB,DSS
78.2576,-69.5642,,,,,-1.5399999999999991,-2.1799999999999997,-2.25,-2.6784999999999997,-4.8148,-7.8246,-10.6569,-15.1977,CAGB,DSS
78.2769,-69.1629,,,,,-3.5299999999999994,-5.35,-6.98,-9.2053,-9.891,-10.4378,-10.9161,-11.694099999999999,CAGB,DSS
78.4162,-66.648,1.9840000000000018,0.46000000000000085,-1.3999999999999986,-4.513999999999999,-6.27,-7.139999999999999,-7.48,-7.754199999999999,-7.769399999999999,-7.9252,-8.1612,-9.485999999999999,OAGB,DSS
